pedido_ID,item,material_ID,local_ID,quantidade,precoUnit,valorItem,percDescon,createdAt,createdBy,modifiedAt,modifiedBy
68ae6a26-2e40-4e4c-bda6-ef5485bc0fc5,1,3511e24a-5fbe-4796-a641-5668ed87a622,431cc1a4-c58b-4a10-bd00-f9205643d73f,5.241,15.2,79.66,0.0,2026-05-07T07:07:25Z,system,,
68ae6a26-2e40-4e4c-bda6-ef5485bc0fc5,2,e8b1c328-2945-4dd8-931e-762692d42930,ed8bd5b1-1f8b-45f9-999e-243aaca68427,7.666,48.9,374.87,0.0,2026-05-07T07:07:25Z,system,,
6b7ac9c2-9322-4788-8cf9-b4f478722bbc,1,3511e24a-5fbe-4796-a641-5668ed87a622,431cc1a4-c58b-4a10-bd00-f9205643d73f,5.421,15.2,82.4,0.0,2026-05-07T07:07:25Z,system,,
6b7ac9c2-9322-4788-8cf9-b4f478722bbc,2,409e0c48-1d3a-43a3-81c3-b40508ea6e7a,ed8bd5b1-1f8b-45f9-999e-243aaca68427,2.79,0.12,0.28,0.15,2026-05-07T07:07:25Z,system,,
6b7ac9c2-9322-4788-8cf9-b4f478722bbc,3,bfffa1e4-19b6-4db1-a75a-79797594f871,431cc1a4-c58b-4a10-bd00-f9205643d73f,25.214,0.85,19.29,0.1,2026-05-07T07:07:25Z,system,,
fc6e89d5-d449-4cf6-9d63-d6acefb60b6c,1,409e0c48-1d3a-43a3-81c3-b40508ea6e7a,a99d45f2-0680-43be-8e4f-23ec2558f942,3.501,0.12,0.4,0.05,2026-05-07T07:07:25Z,system,,
fc6e89d5-d449-4cf6-9d63-d6acefb60b6c,2,1c7f523a-11df-4462-b82b-c7e991203bc1,a99d45f2-0680-43be-8e4f-23ec2558f942,9.599,2.3,18.77,0.15,2026-05-07T07:07:25Z,system,,
00090b0c-03c8-4b11-9046-25d09977c76b,1,e8b1c328-2945-4dd8-931e-762692d42930,431cc1a4-c58b-4a10-bd00-f9205643d73f,7.568,48.9,370.08,0.0,2026-05-07T07:07:25Z,system,,
00090b0c-03c8-4b11-9046-25d09977c76b,2,bfffa1e4-19b6-4db1-a75a-79797594f871,a99d45f2-0680-43be-8e4f-23ec2558f942,8.546,0.85,6.54,0.1,2026-05-07T07:07:25Z,system,,
00090b0c-03c8-4b11-9046-25d09977c76b,3,409e0c48-1d3a-43a3-81c3-b40508ea6e7a,ed8bd5b1-1f8b-45f9-999e-243aaca68427,6.567,0.12,0.71,0.1,2026-05-07T07:07:25Z,system,,
5996349e-8d79-418f-8fd5-c66b7124ba6b,1,409e0c48-1d3a-43a3-81c3-b40508ea6e7a,431cc1a4-c58b-4a10-bd00-f9205643d73f,6.951,0.12,0.75,0.1,2026-05-07T07:07:25Z,system,,
5996349e-8d79-418f-8fd5-c66b7124ba6b,2,3511e24a-5fbe-4796-a641-5668ed87a622,431cc1a4-c58b-4a10-bd00-f9205643d73f,17.251,15.2,262.22,0.0,2026-05-07T07:07:25Z,system,,
2030cf28-9755-4eae-bd86-23a6d3a989a1,1,1c7f523a-11df-4462-b82b-c7e991203bc1,a99d45f2-0680-43be-8e4f-23ec2558f942,20.987,2.3,43.44,0.1,2026-05-07T07:07:25Z,system,,
2030cf28-9755-4eae-bd86-23a6d3a989a1,2,e8b1c328-2945-4dd8-931e-762692d42930,ed8bd5b1-1f8b-45f9-999e-243aaca68427,9.43,48.9,461.13,0.0,2026-05-07T07:07:25Z,system,,
2030cf28-9755-4eae-bd86-23a6d3a989a1,3,ffe0653b-4b4f-4c96-9983-dd3d204ebfb2,ed8bd5b1-1f8b-45f9-999e-243aaca68427,13.065,22.5,279.26,0.05,2026-05-07T07:07:25Z,system,,
